Crawled Date,List Position on Page,List Name,List Description,GPT Position in List,GPT Name,GPT Description,GPT Author,GPT Logo Image URL
"2024-03-16",1,"Featured","Curated top picks from this week",1,"Personal Color Analysis","Personal color analyst helping you find your best colors","By Lana Aljuaid","https://files.oaiusercontent.com/file-oyHQXVI87NFrj3PyI8LPsdsh?se=2123-12-27T03%3A16%3A24Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Da90c6c16-7b1b-46b1-9676-d600f829bf00.png&sig=rhFmtX15DcO96/wHh9R6XoLBFkXNfUiBWk4V2FN7xr4%3D"
"2024-03-16",1,"Featured","Curated top picks from this week",2,"Whimsical Diagrams","Explains and visualizes concepts with flowcharts, mindmaps and sequence diagrams.","By whimsical.com","https://files.oaiusercontent.com/file-w1wRg58ZPtZgXXTQJqiEwJ4H?se=2124-01-06T16%3A22%3A56Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DWhite%2520Icon%2520on%2520Gradient%2520SQ%25402x.png&sig=9eaJvzM4CZfWuo08Mik5OfaxwqRbEfZl0J333af9dRo%3D"
"2024-03-16",1,"Featured","Curated top picks from this week",3,"Book Creator Guide","A writing assistant specializing in book creation, web research, and format recommendations.","By Choi Yong","https://files.oaiusercontent.com/file-QDv14Pkaw2Q5LPiYRqb8tSan?se=2123-10-18T00%3A49%3A39Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D3efca56e-e967-4f56-8a67-f7fc3700837f.png&sig=2Ok%2BcQYxMGyPWf7AFAl50OsLU9QlSeo/zbFGhUue2Xk%3D"
"2024-03-16",1,"Featured","Curated top picks from this week",4,"Gauntlet: Movies","Enjoy this Five-strike movie trivia game.","By Josh Brent N. Villocido","https://files.oaiusercontent.com/file-w3rqhLINSmVQy92lM7ikouJn?se=2123-10-25T08%3A53%3A07Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dgauntlet%2520movies.png&sig=tJWD4yozX1vr5bDUqQhEJV2moIOCqlCC62T0L0yyiMU%3D"
"2024-03-16",1,"Featured","Curated top picks from this week",5,"Drawn to Style","I creatively transform drawings and pictures into different artistic styles.","By UMESH N","https://files.oaiusercontent.com/file-gP54nvFyK44hooUEvYMhJciy?se=2123-10-16T22%3A11%3A38Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dd0377191-2a44-4506-b90a-0e0f03465c0a.png&sig=%2BzFFaYI2Vkq5a/uJSvfamk5XER8EVlYeKQy0qn4lqCs%3D"
"2024-03-16",1,"Featured","Curated top picks from this week",6,"SellMeThisPen","Create second hand marketplace listings based on pictures. Start by uploading a picture.","By Peter Örneholm","https://files.oaiusercontent.com/file-yALburFJq31FxM7lp7Sf4Shx?se=2123-10-17T07%3A39%3A01Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DSellMeThisPen-03.png&sig=D1KJbovUZ%2B0IcuMqQJVno6ZwQVjFgmP8unlpDV39XdE%3D"
"2024-03-16",2,"Trending","Most popular GPTs by our community",1,"image generator","A GPT specialized in generating and refining images with a mix of professional and friendly tone.image generator","By NAIF J ALOTAIBI","https://files.oaiusercontent.com/file-M1df4Ab7Ow6QCJ871tBUsi0x?se=2123-11-08T17%3A52%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D40face33-c6ad-4a5d-b402-5f7126e8325f.png&sig=G9qnRNHbnnN1gnz2NzVSyjwWvQ6hrGjr%2Be7hbYgnjRs%3D"
"2024-03-16",2,"Trending","Most popular GPTs by our community",2,"Write For Me","Write tailored, engaging content with a focus on quality, relevance and precise word count.","By puzzle.today","https://files.oaiusercontent.com/file-hVjI65nZeCAowpoArhSWjynX?se=2123-10-24T11%3A26%3A42Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Ded9312a8-bf37-4345-93bd-2e8b54bc2a89.png&sig=nw8OKVAhe0pqBOvG8jlopI5cQ2npVyuHjAjSpr%2BWKFo%3D"
"2024-03-16",2,"Trending","Most popular GPTs by our community",3,"Consensus","Your AI Research Assistant. Search 200M academic papers from Consensus, get science-based answers, and draft content with accurate citations.","By consensus.app","https://files.oaiusercontent.com/file-uUsDBz1ABhyOXkRiWhe5xohZ?se=2123-12-15T23%3A21%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3D2092%2520%25282%2529.png&sig=0CNjR0V7ipTUL/6R3rKszqP6mB25NOc2WjtIuDEwhrg%3D"
"2024-03-16",2,"Trending","Most popular GPTs by our community",4,"Canva","Effortlessly design anything: presentations, logos, social media posts and more.","By canva.com","https://files.oaiusercontent.com/file-6qPLxHx8u9lf2XszRtWG25RD?se=2123-10-14T00%3A38%3A41Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=LV3ZLlRkK4S61JLukf%2B10WLwU4%2B7%2B6NNkTLm2gsbw%2BU%3D"
"2024-03-16",2,"Trending","Most popular GPTs by our community",5,"Logo Creator","Use me to generate professional logo designs and app icons!","By Chase Lean","https://files.oaiusercontent.com/file-dqdS1PEGuFcQ1GliVE2qBchP?se=2123-10-17T09%3A45%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D_7c6e5ee7-e05e-4685-bd8a-c3d81188ceb8.png&sig=0b5iWxPIKs//MVBoEqZ93ADvuWW%2BFlzsma%2BVtkKXYls%3D"
