Crawled Date,List Position on Page,List Name,List Description,GPT Position in List,GPT Name,GPT Description,GPT Author,GPT Logo Image URL
"2024-03-02",1,"Featured","Curated top picks from this week",1,"Escape the Haunt","A text-based haunted hotel escape adventure.","By Matthew Schlicht","https://files.oaiusercontent.com/file-2yDuma8uWgcfRI6hObA0IcNL?se=2123-10-15T04%3A00%3A28Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D27d9db5c-ad2d-4d9c-92e2-e3c0e7e1015e.png&sig=%2BLfMc3Au3GE9bGi8uf2qjIOTAojbyVf1SOqiG7bQhvc%3D"
"2024-03-02",1,"Featured","Curated top picks from this week",2,"The Designer's Mood Board","Mood Board Specialist","By Brendan Donnelly","https://files.oaiusercontent.com/file-AKSh8I2Hd3ICxoB5xN9Xzz1e?se=2123-12-18T08%3A35%3A25Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Ddesigners%2520moodboard%2520logo.jpg&sig=QejsS%2BeAn7Fu0fbEZNyIL7EMQty0bil0LrqG5jWwjus%3D"
"2024-03-02",1,"Featured","Curated top picks from this week",3,"Wolfram","Access computation, math, curated knowledge & real-time data from Wolfram|Alpha and Wolfram Language; from the makers of Mathematica.","By gpt.wolfram.com","https://files.oaiusercontent.com/file-fGE6EGZCQY73C76MJantfE0d?se=2123-11-20T15%3A51%3A47Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DWolfram.png&sig=2QEsZQ5Kxa7XqcJ0uhOOHZMx0qjAhuN2H%2BsZR5p2GXo%3D"
"2024-03-02",1,"Featured","Curated top picks from this week",4,"ElevenLabs Text To Speech","Convert text into lifelike speech with ElevenLabs (limited to 1,500 characters)","By Ammaar Reshi","https://files.oaiusercontent.com/file-MByVNy6xBmXHsvjpmnaRz517?se=2124-01-20T03%3A30%3A53Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Deleven-lines-hq.png&sig=/dvmbBstijgnsWKd%2Bcrk6/EWT4dLQELZ0QarnswWXJg%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",1,"image generator","A GPT specialized in generating and refining images with a mix of professional and friendly tone.image generator","By NAIF J ALOTAIBI","https://files.oaiusercontent.com/file-M1df4Ab7Ow6QCJ871tBUsi0x?se=2123-11-08T17%3A52%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D40face33-c6ad-4a5d-b402-5f7126e8325f.png&sig=G9qnRNHbnnN1gnz2NzVSyjwWvQ6hrGjr%2Be7hbYgnjRs%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",2,"Canva","Effortlessly design anything: presentations, logos, social media posts and more.","By canva.com","https://files.oaiusercontent.com/file-6qPLxHx8u9lf2XszRtWG25RD?se=2123-10-14T00%3A38%3A41Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=LV3ZLlRkK4S61JLukf%2B10WLwU4%2B7%2B6NNkTLm2gsbw%2BU%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",3,"Write For Me","Write tailored, engaging content with a focus on quality, relevance and precise word count.","By puzzle.today","https://files.oaiusercontent.com/file-hVjI65nZeCAowpoArhSWjynX?se=2123-10-24T11%3A26%3A42Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Ded9312a8-bf37-4345-93bd-2e8b54bc2a89.png&sig=nw8OKVAhe0pqBOvG8jlopI5cQ2npVyuHjAjSpr%2BWKFo%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",4,"Cartoonize Yourself","Turns photos into Pixar-style illustrations. Upload your photo to try","By karenxcheng.com","https://files.oaiusercontent.com/file-bUZE1j8Ld1SJq9wEeJDfRGuM?se=2123-11-03T02%3A43%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D980728ef-7d57-4b4c-b0a5-dcf9e00676e9.png&sig=JT%2BynnJL4ai6H70cscNUpbO63WcvWtxZVZMFY2L3gag%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",5,"Scholar GPT","Enhance research with 200M+ resources and built-in critical reading skills. Access Google Scholar, PubMed, JSTOR, Arxiv, and more, effortlessly.","By awesomegpts.ai","https://files.oaiusercontent.com/file-gk3ACPm7Tvy5DHe5aE9fqJ0W?se=2123-12-19T11%3A10%3A14Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DFrame%2520612.png&sig=dTPAPU4773Mz4PPaC6kCzsTf7ZiFgLSs/z3%2B3uGxkqY%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",6,"Humanizer Pro","#1 Humanizer in the market. This tool humanizes your content to bypass the most advanced AI detectors, maintaining content meaning and quality with a 100% human score. Currently it supports only English.","By CharlyAI","https://files.oaiusercontent.com/file-B3J9SZ6f8uh21XyDgNJ236pg?se=2123-10-22T14%3A41%3A35Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D579a0db4-4eef-4846-98f7-ff2979eb942e.webp&sig=xs2Th9HWsBkW5G60Vp90UmCc/QeGOrRXjF4XhcPHwhw%3D"
